|Run	$Params	|Epoch	|Trial	$TrialName	#SSE	#AvgSSE	#Err	#CosDiff	"#EnviroFeatures_Act[2:0,0]<2:1,8>"	"#EnviroFeatures_Act[2:0,1]"	"#EnviroFeatures_Act[2:0,2]"	"#EnviroFeatures_Act[2:0,3]"	"#EnviroFeatures_Act[2:0,4]"	"#EnviroFeatures_Act[2:0,5]"	"#EnviroFeatures_Act[2:0,6]"	"#EnviroFeatures_Act[2:0,7]"	"#InteroState_Act[2:0,0]<2:1,8>"	"#InteroState_Act[2:0,1]"	"#InteroState_Act[2:0,2]"	"#InteroState_Act[2:0,3]"	"#InteroState_Act[2:0,4]"	"#InteroState_Act[2:0,5]"	"#InteroState_Act[2:0,6]"	"#InteroState_Act[2:0,7]"	"#MBApp_Act[2:0,0]<2:1,5>"	"#MBApp_Act[2:0,1]"	"#MBApp_Act[2:0,2]"	"#MBApp_Act[2:0,3]"	"#MBApp_Act[2:0,4]"	"#MBAv_Act[2:0,0]<2:1,3>"	"#MBAv_Act[2:0,1]"	"#MBAv_Act[2:0,2]"	"#Cost_Act[2:0,0]<2:1,16>"	"#Cost_Act[2:0,1]"	"#Cost_Act[2:0,2]"	"#Cost_Act[2:0,3]"	"#Cost_Act[2:0,4]"	"#Cost_Act[2:0,5]"	"#Cost_Act[2:0,6]"	"#Cost_Act[2:0,7]"	"#Cost_Act[2:0,8]"	"#Cost_Act[2:0,9]"	"#Cost_Act[2:0,10]"	"#Cost_Act[2:0,11]"	"#Cost_Act[2:0,12]"	"#Cost_Act[2:0,13]"	"#Cost_Act[2:0,14]"	"#Cost_Act[2:0,15]"	"#DyDA_Act[2:0,0]<2:1,1>"	"#Approach_Act[2:0,0]<2:1,5>"	"#Approach_Act[2:0,1]"	"#Approach_Act[2:0,2]"	"#Approach_Act[2:0,3]"	"#Approach_Act[2:0,4]"	"#Approach_ActM[2:0,0]<2:1,5>"	"#Approach_ActM[2:0,1]"	"#Approach_ActM[2:0,2]"	"#Approach_ActM[2:0,3]"	"#Approach_ActM[2:0,4]"	"#Avoidance_Act[2:0,0]<2:1,3>"	"#Avoidance_Act[2:0,1]"	"#Avoidance_Act[2:0,2]"	"#Avoidance_ActM[2:0,0]<2:1,3>"	"#Avoidance_ActM[2:0,1]"	"#Avoidance_ActM[2:0,2]"	"#Behavior_Act[2:0,0]<2:1,16>"	"#Behavior_Act[2:0,1]"	"#Behavior_Act[2:0,2]"	"#Behavior_Act[2:0,3]"	"#Behavior_Act[2:0,4]"	"#Behavior_Act[2:0,5]"	"#Behavior_Act[2:0,6]"	"#Behavior_Act[2:0,7]"	"#Behavior_Act[2:0,8]"	"#Behavior_Act[2:0,9]"	"#Behavior_Act[2:0,10]"	"#Behavior_Act[2:0,11]"	"#Behavior_Act[2:0,12]"	"#Behavior_Act[2:0,13]"	"#Behavior_Act[2:0,14]"	"#Behavior_Act[2:0,15]"	"#Behavior_ActM[2:0,0]<2:1,16>"	"#Behavior_ActM[2:0,1]"	"#Behavior_ActM[2:0,2]"	"#Behavior_ActM[2:0,3]"	"#Behavior_ActM[2:0,4]"	"#Behavior_ActM[2:0,5]"	"#Behavior_ActM[2:0,6]"	"#Behavior_ActM[2:0,7]"	"#Behavior_ActM[2:0,8]"	"#Behavior_ActM[2:0,9]"	"#Behavior_ActM[2:0,10]"	"#Behavior_ActM[2:0,11]"	"#Behavior_ActM[2:0,12]"	"#Behavior_ActM[2:0,13]"	"#Behavior_ActM[2:0,14]"	"#Behavior_ActM[2:0,15]"
0	Base	400	109		0.9871	0.0617	1	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.1	0	0	0	0	0	0.07579	0.09352	0.08983	0.1099	0.104	0	0	0	0.9634	0.0002846	7.98E-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002902	3.70E-20	1.60E-06	3.50E-08	9.54E-09	1.57E-12	8.93E-10	1.16E-09	4.69E-21	0.003214	1.89E-12	0.9935	0.0009163	1.24E-19	2.42E-14	1.44E-09
0	Base	400	110		0.9811	0.06132	1	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.1	0	0	0	0	0	0.004076	0.5108	0.002414	3.65E-05	0.0001171	0	0	0	5.03E-06	0.9772	3.14E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03E-05	3.01E-12	9.22E-10	0.0002383	1.32E-09	2.88E-10	3.25E-14	1.85E-15	1.65E-18	2.60E-11	3.55E-14	5.78E-05	0.9905	6.35E-11	9.77E-09	1.99E-07
0	Base	400	111		0.9866	0.06166	1	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.3	0.1	0.1	0	0	0	0	0	0.1083	0.1135	0.1154	9.69E-06	3.47E-07	0	0	0	2.48E-05	0.0002456	0.9701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.96E-15	1.08E-05	1.85E-08	3.60E-09	3.37E-10	1.99E-13	7.00E-13	4.29E-09	1.43E-08	6.53E-05	2.57E-17	2.25E-09	8.32E-16	1.40E-08	8.96E-17	0.9933
0	Base	400	112		0.9867	0.06167	1	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.1	0	0	0	0	0	0.8995	9.86E-17	3.69E-17	1.33E-16	2.51E-16	0	0	0	8.43E-08	4.31E-08	0.08979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13E-09	0.9933	1.80E-05	4.00E-18	2.00E-14	0.005697	1.79E-13	1.54E-06	2.84E-20	1.45E-05	1.26E-07	5.07E-16	1.11E-11	1.80E-08	2.52E-08	4.77E-14
0	Base	400	113		0.9857	0.06161	1	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.1	0	0	0	0	0	1.10E-13	0.9038	2.70E-14	8.34E-16	2.70E-15	0	0	0	5.92E-06	0.0003891	1.95E-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80E-08	4.10E-10	6.27E-13	0.9928	1.12E-10	1.68E-14	9.68E-17	2.78E-06	6.80E-11	1.33E-09	1.06E-10	1.33E-11	2.99E-11	5.05E-15	1.52E-10	6.37E-09
0	Base	400	114		0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.1	0	0	0	0	0	6.16E-15	1.05E-13	0.9325	8.32E-13	1.82E-13	0	0	0	0.02127	1.25E-07	0.009826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21E-10	2.76E-05	1.24E-14	0.004174	0.0003731	0.01904	1.82E-15	0.004548	5.45E-10	0.002882	2.75E-07	1.89E-08	1.33E-06	1.51E-11	2.64E-06	9.11E-07
0	Base	400	115		0.9891	0.06182	1	0	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.1	0	0	0	0	0	2.37E-14	4.01E-11	8.98E-14	0.9275	1.06E-12	0	0	0	0.05008	3.62E-09	7.73E-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38E-09	3.62E-12	9.97E-12	3.59E-13	8.90E-07	2.55E-08	9.60E-15	0.9945	1.46E-15	1.42E-07	0.001264	4.90E-18	1.59E-15	9.70E-10	5.80E-16	1.60E-08
0	Base	400	116		0.9868	0.06168	1	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.1	0	0	0	0	0	1.51E-13	4.95E-16	1.44E-19	6.26E-08	0.8924	0	0	0	9.30E-07	2.07E-12	0.116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.24E-08	6.12E-08	6.46E-14	1.72E-11	6.89E-17	4.93E-05	1.36E-14	8.50E-11	0.9934	8.61E-08	2.60E-06	4.09E-13	6.43E-12	7.79E-11	3.28E-13	1.59E-05
0	Base	400	117		0.9791	0.0612	1	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.1	0	0	0	0	0	2.43E-06	5.12E-05	1.55E-05	0.5335	0.002949	0	0	0	0.9723	1.93E-05	1.69E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.10E-14	1.53E-10	5.91E-12	1.82E-08	4.90E-13	0.004688	4.01E-16	0.05914	4.90E-13	5.92E-10	0.9895	1.12E-10	3.81E-14	2.20E-12	1.18E-12	2.01E-10
0	Base	400	118		0.9811	0.06132	1	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.3	0.2	0.1	0	0	0	0	0	0.004058	0.511	0.002387	3.62E-05	0.0001154	0	0	0	5.06E-06	0.9772	3.16E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04E-05	4.48E-13	9.13E-10	3.17E-05	1.31E-09	4.01E-11	3.84E-14	2.96E-16	1.64E-18	3.92E-12	3.56E-14	7.49E-06	0.9905	2.30E-11	9.82E-09	2.64E-08
